[2025-05-22 09:19:58,657] INFO: Found credentials in shared credentials file: ~/.aws/credentials
[2025-05-22 09:20:44,611] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:45,883] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:47,133] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:48,368] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:49,617] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:50,882] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:52,455] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:54,397] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:55,649] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:57,046] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:58,448] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:20:59,851] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:01,242] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:02,626] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:04,563] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:05,970] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:07,231] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:08,465] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:09,684] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:11,060] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:12,330] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:13,546] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:14,926] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:16,179] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:18,138] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:19,946] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:21,329] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:22,706] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:24,517] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:21:25,915] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
