[2025-05-22 19:18:43,855] INFO: Found credentials in shared credentials file: ~/.aws/credentials
[2025-05-22 19:18:44,478] INFO: Iniciando aplicação de reconhecimento facial em tempo real...
[2025-05-22 19:18:44,478] INFO: Verificando setup do AWS Rekognition...
[2025-05-22 19:18:44,478] INFO: Região AWS configurada: us-east-1
[2025-05-22 19:18:44,478] INFO: ID da Coleção configurado: sala_de_aula
[2025-05-22 19:18:44,478] INFO: Tentando listar coleções para testar a conexão e permissões básicas...
[2025-05-22 19:18:46,729] INFO: Conexão bem-sucedida! Coleções Rekognition existentes: ['sala_de_aula']
[2025-05-22 19:18:46,729] INFO: Verificando se a coleção 'sala_de_aula' existe...
[2025-05-22 19:18:46,977] INFO: Coleção 'sala_de_aula' encontrada e acessível.
[2025-05-22 19:18:46,977] INFO: Setup da AWS verificado com sucesso. Iniciando reconhecimento...
[2025-05-22 19:18:51,795] WARNING: Nenhum rosto detectado no frame pelo Rekognition. Continuando...
[2025-05-22 19:18:54,149] WARNING: Nenhum rosto detectado no frame pelo Rekognition. Continuando...
[2025-05-22 19:18:56,402] WARNING: Nenhum rosto detectado no frame pelo Rekognition. Continuando...
[2025-05-22 19:18:58,558] WARNING: Nenhum rosto detectado no frame pelo Rekognition. Continuando...
[2025-05-22 19:19:01,409] WARNING: Nenhum rosto detectado no frame pelo Rekognition. Continuando...
[2025-05-22 19:19:03,097] INFO: Tecla ESC pressionada. Encerrando aplicação...
[2025-05-22 19:19:03,097] INFO: Aguardando a thread de processamento do Rekognition finalizar...
[2025-05-22 19:19:03,535] WARNING: Nenhum rosto detectado no frame pelo Rekognition. Continuando...
[2025-05-22 19:19:04,066] INFO: Câmera liberada e janelas destruídas.
[2025-05-22 19:19:04,096] INFO: Nenhum aluno foi reconhecido para gerar relatórios.
[2025-05-22 19:19:04,111] INFO: Aplicação encerrada.
