[2025-05-22 09:10:55,604] INFO: Found credentials in shared credentials file: ~/.aws/credentials
[2025-05-22 09:11:02,872] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:04,461] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:06,019] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:07,566] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:09,158] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:10,765] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:12,331] ERROR: Erro inesperado ao chamar o Rekognition: An error occurred (UnrecognizedClientException) when calling the SearchFacesByImage operation: The security token included in the request is invalid.
[2025-05-22 09:11:13,233] INFO: Relatório CSV salvo como c:\Users\itconsol\Downloads\ProjetoReconhecimento\BackEnd\Relatorios\relatorio_presenca_2025-05-22_09-10.csv
[2025-05-22 09:11:13,268] INFO: Relatório JSON salvo como c:\Users\itconsol\Downloads\ProjetoReconhecimento\BackEnd\Relatorios\relatorio_presenca.json
